icd9_code,short_title,long_title
07799,Unsp ds conjuc viruses,Unspecified diseases of conjunctiva due to viruses
0780,Molluscum contagiosum,Molluscum contagiosum
07810,Viral warts NOS,"Viral warts, unspecified"
07811,Condyloma acuminatum,Condyloma acuminatum
07819,Oth specfd viral warts,Other specified viral warts
0785,Cytomegaloviral disease,Cytomegaloviral disease
07889,Oth spec dis viruses,Other specified diseases due to viruses
0790,Adenovirus infect NOS,Adenovirus infection in conditions classified elsewhere and of unspecified site
0793,Rhinovirus infect NOS,Rhinovirus infection in conditions classified elsewhere and of unspecified site
0794,Human papillomavirus,Human papillomavirus in conditions classified elsewhere and of unspecified site
07951,Htlv-1 infection oth dis,"Human T-cell lymphotrophic virus, type I [HTLV-I]"
07953,Hiv-2 infection oth dis,"Human immunodeficiency virus, type 2 [HIV-2]"
0796,Resprtry syncytial virus,Respiratory syncytial virus (RSV)
07983,Parvovirus B19,Parvovirus B19
07989,Oth specf viral infectn,Other specified viral infection
07998,Chlamydial infection NOS,Unspecified chlamydial infection
07999,Viral infection NOS,Unspecified viral infection
08240,Ehrlichiosis NOS,"Ehrlichiosis, unspecified"
08249,Ehrlichiosis NEC,Other ehrlichiosis
0839,Rickettsiosis NOS,"Rickettsiosis, unspecified"
0840,Falciparum malaria,Falciparum malaria [malignant tertian]
0844,Malaria NEC,Other malaria
0846,Malaria NOS,"Malaria, unspecified"
0849,Malaria complicated NEC,Other pernicious complications of malaria
0859,Leishmaniasis NOS,"Leishmaniasis, unspecified"
0860,Chagas disease of heart,Chagas' disease with heart involvement
0880,Bartonellosis,Bartonellosis
08881,Lyme disease,Lyme Disease
08882,Babesiosis,Babesiosis
0902,Early congen syph NOS,"Early congenital syphilis, unspecified"
0912,Primary syphilis NEC,Other primary syphilis
09152,Syphilitic iridocyclitis,Syphilitic iridocyclitis (secondary)
09181,Acute syphil meningitis,Acute syphilitic meningitis (secondary)
0919,Secondary syphilis NOS,Unspecified secondary syphilis
0931,Syphilitic aortitis,Syphilitic aortitis
0940,Tabes dorsalis,Tabes dorsalis
0949,Neurosyphilis NOS,"Neurosyphilis, unspecified"
096,Late syphilis latent,"Late syphilis, latent"
0970,Late syphilis NOS,"Late syphilis, unspecified"
0971,Latent syphilis NOS,"Latent syphilis, unspecified"
0979,Syphilis NOS,"Syphilis, unspecified"
0980,Acute gc infect lower gu,Gonococcal infection (acute) of lower genitourinary tract
0993,Reiter's disease,Reiter's disease
1100,Dermatophyt scalp/beard,Dermatophytosis of scalp and beard
1101,Dermatophytosis of nail,Dermatophytosis of nail
1103,Dermatophytosis of groin,Dermatophytosis of groin and perianal area
1104,Dermatophytosis of foot,Dermatophytosis of foot
1105,Dermatophytosis of body,Dermatophytosis of the body
1106,Deep dermatophytosis,Deep seated dermatophytosis
1108,Dermatophytosis site NEC,Dermatophytosis of other specified sites
1109,Dermatophytosis site NOS,Dermatophytosis of unspecified site
1110,Pityriasis versicolor,Pityriasis versicolor
1118,Dermatomycoses NEC,Other specified dermatomycoses
1119,Dermatomycosis NOS,"Dermatomycosis, unspecified"
1120,Thrush,Candidiasis of mouth
1121,Candidal vulvovaginitis,Candidiasis of vulva and vagina
1122,Candidias urogenital NEC,Candidiasis of other urogenital sites
1123,Cutaneous candidiasis,Candidiasis of skin and nails
1124,Candidiasis of lung,Candidiasis of lung
1125,Disseminated candidiasis,Disseminated candidiasis
11281,Candidal endocarditis,Candidal endocarditis
11283,Candidal meningitis,Candidal meningitis
11284,Candidal esophagitis,Candidal esophagitis
11285,Candidal enteritis,Candidal enteritis
11289,Candidiasis site NEC,Other candidiasis of other specified sites
1129,Candidiasis site NOS,Candidiasis of unspecified site
1140,Primary coccidioidomycos,Primary coccidioidomycosis (pulmonary)
1149,Coccidioidomycosis NOS,"Coccidioidomycosis, unspecified"
11505,Histoplasm caps pneumon,"Infection by Histoplasma capsulatum, pneumonia"
11519,Histoplasma duboisii NEC,"Infection by Histoplasma duboisii, other"
11590,Histoplasmosis NOS,"Histoplasmosis, unspecified, without mention of manifestation"
11599,Histoplasmosis NEC,"Histoplasmosis, unspecified, other"
1160,Blastomycosis,Blastomycosis
1173,Aspergillosis,Aspergillosis
1174,Mycotic mycetomas,Mycotic mycetomas
1175,Cryptococcosis,Cryptococcosis
1177,Zygomycosis,Zygomycosis [Phycomycosis or Mucormycosis]
1179,Mycoses NEC & NOS,Other and unspecified mycoses
118,Opportunistic mycoses,Opportunistic mycoses
1208,Schistosomiasis NEC,Other specified schistosomiasis
1209,Schistosomiasis NOS,"Schistosomiasis, unspecified"
1211,Clonorchiasis,Clonorchiasis
1228,Echinococcosis NOS liver,"Echinococcosis, unspecified, of liver"
1231,Cysticercosis,Cysticercosis
1251,Malayan filariasis,Malayan filariasis
1270,Ascariasis,Ascariasis
1272,Strongyloidiasis,Strongyloidiasis
1273,Trichuriasis,Trichuriasis
1300,Toxoplasm meningoenceph,Meningoencephalitis due to toxoplasmosis
1307,Toxoplasmosis site NEC,Toxoplasmosis of other specified sites
1308,Multisystem toxoplasmos,Multisystemic disseminated toxoplasmosis
1309,Toxoplasmosis NOS,"Toxoplasmosis, unspecified"
13101,Trichomonal vaginitis,Trichomonal vulvovaginitis
13102,Trichomonal urethritis,Trichomonal urethritis
13109,Urogenital trichomon NEC,Other urogenital trichomoniasis
1320,Pediculus capitis,Pediculus capitis [head louse]
1329,Pediculosis NOS,"Pediculosis, unspecified"
1330,Scabies,Scabies
1348,Infestation NEC,Other specified infestations
135,Sarcoidosis,Sarcoidosis
1361,Behcet's syndrome,Behcet's syndrome
1363,Pneumocystosis,Pneumocystosis
1369,Infect/parasite dis NOS,Unspecified infectious and parasitic diseases
1370,"Late effect tb, resp/NOS",Late effects of respiratory or unspecified tuberculosis
1373,Late eff bone & joint TB,Late effects of tuberculosis of bones and joints
138,Late effect acute polio,Late effects of acute poliomyelitis
1390,Late eff viral encephal,Late effects of viral encephalitis
1398,Late eff infect dis NEC,Late effects of other and unspecified infectious and parasitic diseases
1400,Mal neo upper vermilion,"Malignant neoplasm of upper lip, vermilion border"
1401,Mal neo lower vermilion,"Malignant neoplasm of lower lip, vermilion border"
1409,Mal neo lip/vermil NOS,"Malignant neoplasm of lip, unspecified, vermilion border"
1410,Mal neo tongue base,Malignant neoplasm of base of tongue
1414,Mal neo ant 2/3 tongue,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
1418,Malig neo tongue NEC,Malignant neoplasm of other sites of tongue
1419,Malig neo tongue NOS,"Malignant neoplasm of tongue, unspecified"
1420,Malig neo parotid,Malignant neoplasm of parotid gland
1429,Mal neo salivary NOS,"Malignant neoplasm of salivary gland, unspecified"
1430,Malig neo upper gum,Malignant neoplasm of upper gum
1431,Malig neo lower gum,Malignant neoplasm of lower gum
1439,Malig neo gum NOS,"Malignant neoplasm of gum, unspecified"
1440,Mal neo ant floor mouth,Malignant neoplasm of anterior portion of floor of mouth
1448,Mal neo mouth floor NEC,Malignant neoplasm of other sites of floor of mouth
1449,Mal neo mouth floor NOS,"Malignant neoplasm of floor of mouth, part unspecified"
1450,Mal neo cheek mucosa,Malignant neoplasm of cheek mucosa
1452,Malig neo hard palate,Malignant neoplasm of hard palate
1453,Malig neo soft palate,Malignant neoplasm of soft palate
1455,Malignant neo palate NOS,"Malignant neoplasm of palate, unspecified"
1458,Malig neoplasm mouth NEC,Malignant neoplasm of other specified parts of mouth
1460,Malignant neopl tonsil,Malignant neoplasm of tonsil
1461,Mal neo tonsillar fossa,Malignant neoplasm of tonsillar fossa
1463,Malign neopl vallecula,Malignant neoplasm of vallecula epiglottica
1464,Mal neo ant epiglottis,Malignant neoplasm of anterior aspect of epiglottis
1467,Mal neo post oropharynx,Malignant neoplasm of posterior wall of oropharynx
1468,Mal neo oropharynx NEC,Malignant neoplasm of other specified sites of oropharynx
1469,Malig neo oropharynx NOS,"Malignant neoplasm of oropharynx, unspecified site"
1471,Mal neo post nasopharynx,Malignant neoplasm of posterior wall of nasopharynx
1478,Mal neo nasopharynx NEC,Malignant neoplasm of other specified sites of nasopharynx
1479,Mal neo nasopharynx NOS,"Malignant neoplasm of nasopharynx, unspecified site"
1481,Mal neo pyriform sinus,Malignant neoplasm of pyriform sinus
1488,Mal neo hypopharynx NEC,Malignant neoplasm of other specified sites of hypopharynx
1489,Mal neo hypopharynx NOS,"Malignant neoplasm of hypopharynx, unspecified site"
1490,Mal neo pharynx NOS,"Malignant neoplasm of pharynx, unspecified"
1498,Mal neo oral/pharynx NEC,Malignant neoplasm of other sites within the lip and oral cavity
1500,Mal neo cervical esophag,Malignant neoplasm of cervical esophagus
1501,Mal neo thoracic esophag,Malignant neoplasm of thoracic esophagus
1503,Mal neo upper 3rd esoph,Malignant neoplasm of upper third of esophagus
1504,Mal neo middle 3rd esoph,Malignant neoplasm of middle third of esophagus
1505,Mal neo lower 3rd esoph,Malignant neoplasm of lower third of esophagus
1508,Mal neo esophagus NEC,Malignant neoplasm of other specified part of esophagus
1509,Mal neo esophagus NOS,"Malignant neoplasm of esophagus, unspecified site"
1510,Mal neo stomach cardia,Malignant neoplasm of cardia
1511,Malignant neo pylorus,Malignant neoplasm of pylorus
1512,Mal neo pyloric antrum,Malignant neoplasm of pyloric antrum
1513,Mal neo stomach fundus,Malignant neoplasm of fundus of stomach
1514,Mal neo stomach body,Malignant neoplasm of body of stomach
1515,Mal neo stom lesser curv,"Malignant neoplasm of lesser curvature of stomach, unspecified"
1516,Mal neo stom great curv,"Malignant neoplasm of greater curvature of stomach, unspecified"
1518,Malig neopl stomach NEC,Malignant neoplasm of other specified sites of stomach
1519,Malig neopl stomach NOS,"Malignant neoplasm of stomach, unspecified site"
1520,Malignant neopl duodenum,Malignant neoplasm of duodenum
1521,Malignant neopl jejunum,Malignant neoplasm of jejunum
1522,Malignant neoplasm ileum,Malignant neoplasm of ileum
1528,Mal neo small bowel NEC,Malignant neoplasm of other specified sites of small intestine
1529,Mal neo small bowel NOS,"Malignant neoplasm of small intestine, unspecified site"
1530,Mal neo hepatic flexure,Malignant neoplasm of hepatic flexure
1531,Mal neo transverse colon,Malignant neoplasm of transverse colon
1532,Mal neo descend colon,Malignant neoplasm of descending colon
1533,Mal neo sigmoid colon,Malignant neoplasm of sigmoid colon
1534,Malignant neoplasm cecum,Malignant neoplasm of cecum
1535,Malignant neo appendix,Malignant neoplasm of appendix vermiformis
1536,Malig neo ascend colon,Malignant neoplasm of ascending colon
1537,Mal neo splenic flexure,Malignant neoplasm of splenic flexure
1538,Malignant neo colon NEC,Malignant neoplasm of other specified sites of large intestine
1539,Malignant neo colon NOS,"Malignant neoplasm of colon, unspecified site"
1540,Mal neo rectosigmoid jct,Malignant neoplasm of rectosigmoid junction
1541,Malignant neopl rectum,Malignant neoplasm of rectum
1542,Malig neopl anal canal,Malignant neoplasm of anal canal
1543,Malignant neo anus NOS,"Malignant neoplasm of anus, unspecified site"
1548,Mal neo rectum/anus NEC,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus"
1550,"Mal neo liver, primary","Malignant neoplasm of liver, primary"
1551,Mal neo intrahepat ducts,Malignant neoplasm of intrahepatic bile ducts
1552,Malignant neo liver NOS,"Malignant neoplasm of liver, not specified as primary or secondary"
1560,Malig neo gallbladder,Malignant neoplasm of gallbladder
1561,Mal neo extrahepat ducts,Malignant neoplasm of extrahepatic bile ducts
1562,Mal neo ampulla of vater,Malignant neoplasm of ampulla of vater
1568,Malig neo biliary NEC,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts
1569,Malig neo biliary NOS,"Malignant neoplasm of biliary tract, part unspecified site"
1570,Mal neo pancreas head,Malignant neoplasm of head of pancreas
1571,Mal neo pancreas body,Malignant neoplasm of body of pancreas
1572,Mal neo pancreas tail,Malignant neoplasm of tail of pancreas
1573,Mal neo pancreatic duct,Malignant neoplasm of pancreatic duct
1574,Mal neo islet langerhans,Malignant neoplasm of islets of langerhans
1578,Malig neo pancreas NEC,Malignant neoplasm of other specified sites of pancreas
1579,Malig neo pancreas NOS,"Malignant neoplasm of pancreas, part unspecified"
1580,Mal neo retroperitoneum,Malignant neoplasm of retroperitoneum
1588,Mal neo peritoneum NEC,Malignant neoplasm of specified parts of peritoneum
1589,Mal neo peritoneum NOS,"Malignant neoplasm of peritoneum, unspecified"
1598,Mal neo gi/intra-abd NEC,Malignant neoplasm of other sites of digestive system and intra-abdominal organs
1599,Mal neo GI tract ill-def,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum
1602,Mal neo maxillary sinus,Malignant neoplasm of maxillary sinus
1603,Mal neo ethmoidal sinus,Malignant neoplasm of ethmoidal sinus
1608,Mal neo access sinus NEC,Malignant neoplasm of other accessory sinuses
1609,Mal neo access sinus NOS,"Malignant neoplasm of accessory sinus, unspecified"
1610,Malignant neo glottis,Malignant neoplasm of glottis
1611,Malig neo supraglottis,Malignant neoplasm of supraglottis
1612,Malig neo subglottis,Malignant neoplasm of subglottis
1613,Mal neo cartilage larynx,Malignant neoplasm of laryngeal cartilages
1618,Malignant neo larynx NEC,Malignant neoplasm of other specified sites of larynx
1619,Malignant neo larynx NOS,"Malignant neoplasm of larynx, unspecified"
1620,Malignant neo trachea,Malignant neoplasm of trachea
1622,Malig neo main bronchus,Malignant neoplasm of main bronchus
1623,Mal neo upper lobe lung,"Malignant neoplasm of upper lobe, bronchus or lung"
1624,Mal neo middle lobe lung,"Malignant neoplasm of middle lobe, bronchus or lung"
1625,Mal neo lower lobe lung,"Malignant neoplasm of lower lobe, bronchus or lung"
